rank,file,tag,months,share_pf_gt1,pf_median,pf_min,wr_median,dd_median
81,./out/rolling_A_24m_rsi18_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0010_edge0.5.csv,rsi18_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0010_edge0.5,24,0.4166666666666667,0.8702541316460971,0.0,45.0,-0.351474041124894
82,./out/rolling_A_24m_rsi16_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.75.csv,rsi16_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.75,24,0.4166666666666667,0.7936212966821232,0.0,47.22222222222222,-0.3106958874882937
83,./out/rolling_A_24m_rsi24_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.75.csv,rsi24_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.75,24,0.4166666666666667,0.6435149514306988,0.0,47.22222222222222,-0.24409232236007322
84,./out/rolling_A_24m_rsi24_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0010_edge0.5.csv,rsi24_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0010_edge0.5,24,0.375,1.098930899385013,0.0,57.14285714285714,-0.2581400964007607
85,./out/rolling_A_24m_rsi16_bb2.4_atr1.0_risk1_rr1.5.csv,rsi16_bb2.4_atr1.0_risk1_rr1.5,24,0.375,0.8798321620625301,0.429221220493054,44.661854103343465,-0.8922001608325403
86,./out/rolling_A_24m_rsi16_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.75.csv,rsi16_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.75,24,0.375,0.8106890173497873,0.0,50.0,-0.2830507838839591
87,./out/rolling_A_24m_rsi18_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.75.csv,rsi18_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.75,24,0.375,0.8106890173497873,0.0,53.57142857142857,-0.262894721245599
88,./out/rolling_A_24m_rsi24_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.75.csv,rsi24_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.75,24,0.3333333333333333,0.9017456226414412,0.0,50.0,-0.22866758082544786
89,./out/rolling_A_24m_rsi12_bb2.4_atr1.0_risk1_rr1.5.csv,rsi12_bb2.4_atr1.0_risk1_rr1.5,24,0.3333333333333333,0.892310858083287,0.5051532308093001,43.794871794871796,-1.0618734934484952
90,./out/rolling_A_24m_rsi12_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge1.csv,rsi12_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge1,24,0.3333333333333333,0.705474242185085,0.0,50.0,-0.21094044024114184
91,./out/rolling_A_24m_rsi14_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge1.csv,rsi14_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge1,24,0.3333333333333333,0.705474242185085,0.0,50.0,-0.21094044024114184
